

*SVYNAM SECTION001
*DATEUR 22/07/2021
*SVYCOM  ;Explo 1 : 22/07/2021 Guy L / Brigitte A / Eric R / Laurent S / Alex;D:\01 Synology Drive [Blade 15
*SVYTEA                                         
*UNITS INCLINATION D
*UNITS COMPASS D
*UNITS LENGTH M
*DIVING N
*DimInStation T
*DECLIN TO ADD 2.24
; FROM TO LENGTH BEARING INC LEFT UP DOWN RIGHT FLAGS COMMENTS
00	00	0.00	0.00  	0.00  	1.03	0.93	0.98	0.96	;Point 00 Entrée vertical falaise;D:\01 Synology Drive [Blade 15]\00 A Classer sur [Cloud]\Grotte En sait tout (39)\P1020159.JPG
I6	*	0.25	96.90 	6.00  	*	*	*	*	
I6	*	0.28	92.90 	83.10 	*	*	*	*	
I6	*	0.23	172.40	-81.90	*	*	*	*	
I6	I7	2.55	318.00	-0.80 	0.60	0.14	0.28	0.25	
I7	*	0.71	224.20	14.50 	*	*	*	*	
I7	*	0.20	31.30 	-12.30	*	*	*	*	
I7	*	0.28	351.10	79.90 	*	*	*	*	
I7	*	0.26	138.00	-78.30	*	*	*	*	
I7	I8	0.76	9.00  	-0.30 	0.24	0.54	0.26	0.23	
I8	*	0.33	343.30	13.40 	*	*	*	*	
I8	*	0.58	130.50	20.70 	*	*	*	*	
I8	*	0.26	40.50 	84.50 	*	*	*	*	
I8	*	0.23	350.20	-81.50	*	*	*	*	
I8	I9	2.24	54.70 	9.30  	0.44	0.20	0.26	0.22	
I9	*	0.57	303.30	22.60 	*	*	*	*	
I9	*	0.25	129.00	23.40 	*	*	*	*	
I9	*	0.26	100.00	80.60 	*	*	*	*	
I9	*	0.22	359.20	-86.80	*	*	*	*	
I9	I10	2.76	80.30 	4.70  	0.54	0.24	0.27	0.23	
I10	*	0.59	282.30	8.60  	*	*	*	*	
I10	*	0.26	99.10 	-2.60 	*	*	*	*	
I10	*	0.28	80.40 	78.70 	*	*	*	*	
I10	*	0.24	254.30	-77.40	*	*	*	*	
I10	*	0.16	354.90	2.50  	*	*	*	*	
I10	*	0.16	348.60	2.70  	*	*	*	*	
I10	I11	4.71	346.10	2.70  	0.32	0.34	0.41	0.27	
I11	*	4.71	347.50	2.90  	*	*	*	*	
I11	*	0.32	278.40	9.50  	*	*	*	*	
I11	*	0.34	100.90	6.20  	*	*	*	*	
I11	*	0.41	38.40 	81.10 	*	*	*	*	
I11	*	0.28	227.40	-76.30	*	*	*	*	
I11	I12	2.21	34.60 	13.40 	1.01	0.22	0.66	0.45	
I12	*	1.02	247.50	-2.00 	*	*	*	*	
I12	*	0.22	49.60 	5.20  	*	*	*	*	
I12	*	0.66	244.90	84.20 	*	*	*	*	
I12	*	0.45	119.50	-85.20	*	*	*	*	
I12	I13	2.49	266.30	2.80  	0.23	0.74	0.50	0.68	;boue;
I13	*	0.23	231.60	4.80  	*	*	*	*	
I13	*	0.75	59.50 	4.70  	*	*	*	*	
I13	*	0.51	340.40	81.60 	*	*	*	*	
I13	*	0.68	131.00	-84.80	*	*	*	*	
I13	I14	3.58	23.30 	-9.00 	0.29	0.45	0.70	0.27	
I14	*	0.30	297.90	10.10 	*	*	*	*	
I14	*	0.48	103.20	-0.80 	*	*	*	*	
I14	*	0.70	37.50 	86.90 	*	*	*	*	
I14	*	0.27	191.40	-83.60	*	*	*	*	
I14	I15	2.08	44.60 	2.60  	0.52	0.21	0.66	0.23	
I15	*	0.54	270.90	14.10 	*	*	*	*	
I15	*	0.21	81.60 	5.50  	*	*	*	*	
I15	*	0.66	5.60  	83.30 	*	*	*	*	
I15	*	0.24	141.80	-74.20	*	*	*	*	
I15	I16	5.02	301.00	4.80  	*	*	0.89	0.91	;arrivee galerie;
I16	*	0.92	18.90 	6.00  	*	*	*	*	
I16	*	0.22	202.10	3.20  	*	*	*	*	
I16	*	0.89	6.30  	86.50 	*	*	*	*	
I16	*	0.91	265.60	-88.40	*	*	*	*	
